scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
reference_category,reference_H_to_H,adjusted_mean,adjusted_mean,H_to_H,-0.005323548361294555,-0.4714941248645064,0.4575814681075829
reference_category,reference_H_to_H,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.4467325151734561,-0.037557502560666894,0.9424024603989365
reference_category,reference_H_to_H,adjusted_mean,adjusted_mean,Isolated_Storm,0.3218305303925483,0.04909256261186594,0.6103608571563091
reference_category,reference_H_to_H,adjusted_mean,adjusted_mean,S_to_H,0.32787955278659897,0.1310739335967514,0.5300550543368533
reference_category,reference_H_to_H,adjusted_mean,adjusted_mean,S_to_S,-0.15087156699239046,-0.6892871342163404,0.3577101626344773
reference_category,reference_H_to_H,model_coef,storm_exposure_seq_c,,0.014061839472835558,0.002344354807828389,0.02577932413784273
reference_category,reference_H_to_H,model_coef,heat_exposure_seq_c,,0.06613713042088673,0.02303137537104112,0.10924288547073234
reference_category,reference_H_to_H,model_coef,baseline_hc_c,,0.02123053679978568,0.014660703335058943,0.027800370264512417
reference_category,reference_H_to_H,sequence_coef,"C(seq_category_model, Treatment(reference='H_to_H'))[T.Isolated_Heatwave]",,0.4520560635347506,-0.047103978345321706,0.9512161054148229
reference_category,reference_H_to_H,sequence_coef,"C(seq_category_model, Treatment(reference='H_to_H'))[T.Isolated_Storm]",,0.32715407875384284,-0.40091135955266544,1.055219517060351
