reef_name,year,max_dhw,dhw_peak_date,min_dist,max_wind_ms,storm_name,storm_peak_date,has_storm,has_heatwave
Chicken_Reef,1995,1.79,1995.145106091718,,0.0,,,0,0
Chicken_Reef,1996,0.16,1996.0958247775495,,0.0,,,0,0
Chicken_Reef,1997,0.0,1996.501026694045,,0.0,,,0,0
Chicken_Reef,1998,0.15,1998.0958247775495,,0.0,,,0,0
Chicken_Reef,1999,0.46,1999.041067761807,,0.0,,,0,0
Chicken_Reef,2000,0.0,1999.498288843258,43.96211018947605,22.481028000000002,TESSI,2000.2546201232033,1,0
Chicken_Reef,2001,1.17,2001.2190280629707,,0.0,,,0,0
Chicken_Reef,2002,1.61,2002.1177275838468,,0.0,,,0,0
Chicken_Reef,2003,0.14,2003.145106091718,,0.0,,,0,0
Chicken_Reef,2004,2.59,2004.1697467488023,,0.0,,,0,0
Chicken_Reef,2005,0.65,2005.1149897330595,,0.0,,,0,0
Chicken_Reef,2006,0.0,2005.498288843258,,0.0,,,0,0
Chicken_Reef,2007,0.0,2006.498288843258,,0.0,,,0,0
Chicken_Reef,2008,0.0,2007.498288843258,,0.0,,,0,0
Chicken_Reef,2009,1.34,2009.1423682409309,,0.0,,,0,0
Chicken_Reef,2010,0.8300000000000001,2010.1834360027378,,0.0,,,0,0
Chicken_Reef,2011,1.62,2011.0574948665299,,0.0,,,0,0
Chicken_Reef,2012,1.63,2012.123203285421,,0.0,,,0,0
Chicken_Reef,2013,0.86,2013.1396303901438,,0.0,,,0,0
Chicken_Reef,2014,0.0,2013.498288843258,64.95153812252663,17.710106156956243,DYLAN,2014.082135523614,1,0
Chicken_Reef,2015,2.34,2015.1806981519508,,0.0,,,0,0
Chicken_Reef,2016,4.1,2016.2299794661192,,0.0,,,0,1
Chicken_Reef,2017,5.36,2017.2354551676933,,0.0,,,0,1
Chicken_Reef,2018,0.0,2017.498288843258,,0.0,,,0,0
Chicken_Reef,2019,0.0,2018.498288843258,,0.0,,,0,0
Chicken_Reef,2020,6.5200000000000005,2020.1971252566734,42.501235914624765,38.377224,HAROLD,2020.2710472279261,1,1
Chicken_Reef,2021,0.0,2020.501026694045,,0.0,,,0,0
Chicken_Reef,2022,5.45,2022.1998631074607,,0.0,,,0,1
Chicken_Reef,2023,0.65,2023.1204654346338,,0.0,,,0,0
Chicken_Reef,2024,6.04,2024.1423682409309,3.3046948190647196,18.519840000000002,KIRRILY,2024.0684462696784,1,1
Chicken_Reef,2025,4.89,2025.186173853525,,0.0,,,0,1
Chinaman_Reef_22_102,1985,0.0,,,0.0,,,0,0
Chinaman_Reef_22_102,1986,0.0,,,0.0,,,0,0
Chinaman_Reef_22_102,1987,0.0,,,0.0,,,0,0
