reef_name,year,storm_track_id,storm_id,storm_name,storm_track_key_type,max_wind_ms,min_dist_km,buff_limit_km,rmax_default_km,decay_exponent,physical_threshold_ms
Jenkins_Reef,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,42.338412,13.619843414148239,100,45.0,0.8,17.5
John_Brewer_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,18.779630938754828,77.85610057023442,100,45.0,0.8,17.5
John_Brewer_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,26.442216,41.82901520161611,100,45.0,0.8,17.5
John_Brewer_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,37.27278029703682,46.672893219560194,100,45.0,0.8,17.5
John_Brewer_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,31.136045679810675,100,45.0,0.8,17.5
Kelso_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,39.62212723192233,100,45.0,0.8,17.5
Kelso_Reef,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,19.06081035281096,98.78368684748924,100,45.0,0.8,17.5
Kelso_Reef,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,24.869004796647218,84.06802018681472,100,45.0,0.8,17.5
Kelso_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,27.573317814333805,68.02885741944115,100,45.0,0.8,17.5
Kelso_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,20.598173142982528,53.95991836998196,100,45.0,0.8,17.5
Knife_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,22.481028000000002,38.814622048761876,100,45.0,0.8,17.5
Knife_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,32.78825652142947,59.505337433198974,100,45.0,0.8,17.5
Knife_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,31.846278943148867,100,45.0,0.8,17.5
Knife_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,34.350012976784974,51.688726026862604,100,45.0,0.8,17.5
Knife_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,11.841065998472967,100,45.0,0.8,17.5
Knife_Reef,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,29.035275855324787,100,45.0,0.8,17.5
Low_Isles,1999,AU199899_09U,AU199899_09U,RONA,DISTURBANCE_ID,19.857384,20.81421780098811,100,45.0,0.8,17.5
Low_Isles,2014,AU201314_15U,AU201314_15U,ITA,DISTURBANCE_ID,22.26294236357387,81.35490251292485,100,45.0,0.8,17.5
Lynchs_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,24.187500534134855,56.74305638691803,100,45.0,0.8,17.5
Lynchs_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,41.000868000000004,37.07651024804628,100,45.0,0.8,17.5
Lynchs_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,44.885967449719786,100,45.0,0.8,17.5
Lynchs_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,34.266534276158445,100,45.0,0.8,17.5
Lynchs_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,10.815222473444015,100,45.0,0.8,17.5
Lynchs_Reef,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,10.696204558862693,100,45.0,0.8,17.5
Macgillivray_Reef,1990,AU198990_10U,AU198990_10U,IVOR,DISTURBANCE_ID,23.43235980053449,69.24279784835619,100,45.0,0.8,17.5
Macgillivray_Reef,2014,AU201314_15U,AU201314_15U,ITA,DISTURBANCE_ID,41.000868000000004,13.711404261097966,100,45.0,0.8,17.5
Macgillivray_Reef,2015,AU201415_17U,AU201415_17U,NATHAN,DISTURBANCE_ID,29.117304,5.343533974863499,100,45.0,0.8,17.5
Mackay_Reef,1999,AU199899_09U,AU199899_09U,RONA,DISTURBANCE_ID,19.857384,17.813028645772246,100,45.0,0.8,17.5
Mackay_Reef,2014,AU201314_15U,AU201314_15U,ITA,DISTURBANCE_ID,24.80804457444268,71.05935555578145,100,45.0,0.8,17.5
Mackay_Reef,2024,AU202324_02U,AU202324_02U,JASPER,DISTURBANCE_ID,18.519840000000002,21.64739387197063,100,45.0,0.8,17.5
Mantis_Reef,1984,AU198384_18U,AU198384_18U,JIM,DISTURBANCE_ID,22.481028000000002,44.44804614259378,100,45.0,0.8,17.5
Mantis_Reef,2005,AU200405_07U,AU200405_07U,INGRID,DISTURBANCE_ID,19.41261425501073,96.55102761178698,100,45.0,0.8,17.5
Mantis_Reef,2013,AU201213_18U,AU201213_18U,ZANE,DISTURBANCE_ID,18.519840000000002,5.683542048398797,100,45.0,0.8,17.5
Mantis_Reef,2019,AU201819_20U,AU201819_20U,TREVOR,DISTURBANCE_ID,22.200500834926537,74.07832890828657,100,45.0,0.8,17.5
Masthead_Island,1980,AU197980_12U,AU197980_12U,SIMON,DISTURBANCE_ID,25.60488306548496,61.978512075337896,100,45.0,0.8,17.5
